国庆预告区,#genre#
CCTV-01综合,http://zy.otioi.cn/live/mgjt.php?token=h64S0huR&id=cctv1
CCTV-02财经,http://zy.otioi.cn/live/mgjt.php?token=h64S0huR&id=cctv2
CCTV-03综艺,http://zy.otioi.cn/live/mgjt.php?token=h64S0huR&id=cctv3
CCTV-01综合,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv1
CCTV-02财经,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv2
CCTV-03综艺,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv3
CCTV-04中文,http://zy.otioi.cn/live/mgjt.php?token=h64S0huR&id=cctv4
CCTV-04中文,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv4
CCTV-04美洲,http://zy.otioi.cn/live/mgjt.php?token=h64S0huR&id=cctv4m
CCTV-04欧洲,http://zy.otioi.cn/live/mgjt.php?token=h64S0huR&id=cctv4o
CCTV-05体育,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv5
CCTV+5+体育,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv5p
CCTV-06电影,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv6
CCTV-07军事,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv7
CCTV-08电视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv8
CCTV-09纪录,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv9
CCTV-10科教,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv10
CCTV-11戏曲,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv11
CCTV-12社法,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv12
CCTV-13新闻,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv13
CCTV-14少儿,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv14
CCTV-15音乐,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv15
CCTV-16奥林,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=cctv16
CCTV-17农业,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=cctv17
CCTV-01综合,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv1
CCTV-02财经,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv2
CCTV-03综艺,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv3
CCTV-04中文,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv4
CCTV-05体育,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv5
CCTV+5+体育,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv5p
CCTV-06电影,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv6
CCTV-07军事,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv7
CCTV-08电视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv8
CCTV-09纪录,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv9
CCTV-10科教,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv10
CCTV-11戏曲,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv11
CCTV-12社法,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv12
CCTV-13新闻,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv13
CCTV-14少儿,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv14
CCTV-15音乐,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv15
CCTV-16奥林,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv16
CCTV-17农业,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cctv17
CCTV-17农业,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=cctv17
CCTV-兵器科技,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=bqkj
CCTV-第一剧场,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=dyjc
CCTV-怀旧剧场,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hjjc
CCTV-风云剧场,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=fyjc
CCTV-风云音乐,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=fyyy
CCTV-风云足球,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=fyzq
CCTV-央视文化精品,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=whjp
CCTV-女性时尚,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=nxss
CCTV-高尔夫网球,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=gefwq
CCTV-央视台球,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=ystq
CCTV-央广购物,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=yggw
CCTV-中视购物,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=zsgw
CCTV-01综合,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv1
CCTV-02财经,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv2
CCTV-03综艺,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv3
CCTV-04中文,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv4
CCTV-05体育,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv5
CCTV+5+体育,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv5p
CCTV-06电影,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv6
CTV0-7军事,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv7
CCTV-08电视,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv8
CCTV-09纪录,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv9
CCTV-10科教,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv10
CCTV-11戏曲,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv11
CCTV-12注法,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv12
CCTV-13新闻,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv13
CCTV-14少儿,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv14
CCTV-15音乐,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv15
CCTV-17农业,http://xgj.83mi.cn:8865/cqxgj.php?token=h64S0huR&id=cctv17
CCTV-发现之旅,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=fxzl
北京卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=bjws
东方卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=dfws
东方卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=dfws
吉林卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=jlws
青海卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=qhws
江西卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=jxws
江苏卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=jsws
广东卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=gdws
大湾区卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=dwqws
四海钓鱼,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=shdy
海南卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=hinws
东南卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=dnws
湖北卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=hubws
河南卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=hnws
陕西卫视,http://xgj.83mi.cn:8865/migu.php?token=h64S0huR&id=sxws
天津卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=tjws
重庆卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=cqws
黑龙江卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hljws
吉林卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=jlws
辽宁卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=lnws
内蒙古卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=nmws
宁夏卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=nxws
青海卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=qhws
河北卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hbws
山西卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=sxiws
安徽卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=ahws
河南卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hnws
湖北卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hubws
湖南卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hunws
江西卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=jxws
江苏卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=jsws
浙江卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=zjws
东南卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=dnws
广东卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=gdws
深圳卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=szws
广西卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=gxws
云南卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=ynws
贵州卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=gzws
四川卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=scws
新疆卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=xjws
兵团卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=btws
西藏卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=xzws
海南卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hinws
三沙卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=ssws
延边卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=ybws
甘肃卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=gsws
陕西卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=sxws
陕西卫视2,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=sxws2
农林卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=nlws
山东卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=sdws
河南卫视,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hnws2
北京纪实科教,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=bjjskj
四海钓鱼,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=shdy
车迷频道,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=cmpd
环球旅游,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=hqly游
生态环境,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=sthj
法治天地,http://xgj.83mi.cn:63/cqxgj.php?token=h64S0huR&id=fztd
东方卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=dfws
辽宁卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=llws
北京卫视高清,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=bjws
贵州卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=gzws
重庆卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=cqws
云南卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=ynwx
旅游卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=lyws
安徽卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=ahws
优漫卡通,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=ymkt
江西卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=jxws
吉林卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=jlws
四海钓鱼,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=shdy
天津卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=tjws
卡酷动画,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=kkdh
广西卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=gxws
四川卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=scws
湖北卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hbws
陕西卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=sxws
江苏卫视高清,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=jsws
东南卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=dnws
黑龙江卫视高清,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hljws
广东卫视,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=gdws
山东卫视高清,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=sdwd
湖南经视高清,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hnjs
湖南公共,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hngg
湖南卫视高清,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hnws
金鹰卡通,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=jykt
金鹰纪实,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=jyjs
先锋乒羽,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=xfpy
湖南娱乐,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hnyl
湖南都市,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hnds
湖南电视剧,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=hndsj
快乐垂钓,http://zy.otioi.cn/live/live.php?token=h64S0huR&id=klcd
全国统一区,#genre#
广东珠江,http://home.zackfair1993.xyz:8686/rtp/239.77.0.3:5146
广东珠江,http://home.zackfair1993.xyz:8686/rtp/239.77.1.94:5146
广东卫视,http://home.zackfair1993.xyz:8686/rtp/239.77.0.2:5146
广东卫视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.19:5146
广东卫视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.152:5146
广东卫视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.84:5146
广东卫视超清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.166:5146
广东珠江高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.1:5146
广东珠江超清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.114:5146
广东影视,http://home.zackfair1993.xyz:8686/rtp/239.77.0.11:5146
广东影视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.217:5146
广东新闻,http://home.zackfair1993.xyz:8686/rtp/239.77.0.4:5146
广东新闻高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.173:5146
广东公共,http://home.zackfair1993.xyz:8686/rtp/239.77.0.5:5146
广东公共高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.225:5146
广东体育,http://home.zackfair1993.xyz:8686/rtp/239.77.0.6:5146
广东体育,http://home.zackfair1993.xyz:8686/rtp/239.77.1.97:5146
广东体育高清-测试,http://home.zackfair1993.xyz:8686/rtp/239.77.0.112:5146
广东体育超清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.168:5146
经济科教,http://home.zackfair1993.xyz:8686/rtp/239.77.0.8:5146
经济科教高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.85:5146
经济科教超清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.167:5146
大湾区卫视,http://home.zackfair1993.xyz:8686/rtp/239.77.0.9:5146
大湾区卫视,http://home.zackfair1993.xyz:8686/rtp/239.77.1.12:5146
大湾区卫视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.215:5146
广东少儿,http://home.zackfair1993.xyz:8686/rtp/239.77.0.12:5146
广东少儿高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.250:5146
嘉佳卡通,http://home.zackfair1993.xyz:8686/rtp/239.77.0.13:5146
嘉佳卡通,http://home.zackfair1993.xyz:8686/rtp/239.77.1.15:5146
嘉佳卡通高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.179:5146
岭南戏曲,http://home.zackfair1993.xyz:8686/rtp/239.77.0.16:5146
岭南戏曲高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.122:5146
广东房产,http://home.zackfair1993.xyz:8686/rtp/239.77.0.14:5146
现代教育,http://home.zackfair1993.xyz:8686/rtp/239.77.0.18:5146
现代教育高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.213:5146
广东移动,http://home.zackfair1993.xyz:8686/rtp/239.77.0.20:5146
广东综艺4K,http://home.zackfair1993.xyz:8686/rtp/239.77.1.237:5146
广东综艺,http://home.zackfair1993.xyz:8686/rtp/239.77.0.244:5146
广东综艺,http://home.zackfair1993.xyz:8686/rtp/239.77.0.245:5146
广州综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.71:5146
广州新闻高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.72:5146
广州影视高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.73:5146
广州法治高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.74:5146
南国都市 4K,http://home.zackfair1993.xyz:8686/rtp/239.253.43.99:5146
深圳卫视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.3:5146
深圳卫视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.148:5146
深圳卫视高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.92:5146
深圳卫视超清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.130:5146
深圳都市频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.176:5146
深圳都市频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.124:5146
深圳电视剧频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.177:5146
深圳电视剧频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.125:5146
深圳财经生活高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.242:5146
深圳娱乐频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.243:5146
深圳体育健康高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.128:5146
深圳体育健康高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.140:5146
深圳少儿频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.244:5146
深圳公共频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.178:5146
深圳公共频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.126:5146
深圳宝安频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.67:5146
深圳宝安第一课,http://home.zackfair1993.xyz:8686/rtp/239.77.1.225:5146
深圳龙岗频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.223:5146
深圳东部频道高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.224:5146
深圳众创TV高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.247:5146
深圳移动电视,http://home.zackfair1993.xyz:8686/rtp/239.77.1.175:5146
深圳宜和购物高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.87:5146
韶关新闻综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.117:5146
湛江新闻综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.141:5146
湛江公共高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.140:5146
揭阳综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.229:5146
揭阳生活高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.251:5146
汕尾新闻综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.25:5146
汕尾文化生活高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.187:5146
江门综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.201:5146
江门侨乡生活高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.202:5146
HZTV-1高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.232:5146
HZTV-2高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.233:5146
珠海-1高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.155:5146
珠海-2高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.154:5146
肇庆综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.1:5146
肇庆生活服务高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.2:5146
河源综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.213:5146
河源公共高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.214:5146
清远新闻综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.33:5146
清远文旅生活高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.34:5146
云浮综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.253:5146
云浮文旅高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.254:5146
茂名综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.206:5146
茂名公共高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.207:5146
汕头综合高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.130:5146
汕头综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.45:5146
汕头经济生活高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.131:5146
汕头经济生活高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.46:5146
汕头文旅体育高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.132:5146
汕头文旅体育高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.47:5146
佛山公共高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.53:5146
佛山南海高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.54:5146
佛山顺德高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.55:5146
佛山影视高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.56:5146
佛山综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.57:5146
东莞新闻综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.104:5146
东莞生活资讯高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.105:5146
中山综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.62:5146
香山文化高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.63:5146
中山教育高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.64:5146
潮州综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.70:5146
潮州民生高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.75:5146
徐闻综合高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.112:5146
梅州-1高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.123:5146
客家生活高清,http://home.zackfair1993.xyz:8686/rtp/239.253.43.124:5146
佛山公共高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.241:5146
CCTV1,http://home.zackfair1993.xyz:8686/rtp/239.77.0.30:5146
CCTV1高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.17:5146
CCTV1高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.144:5146
CCTV1高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.119:5146
CCTV1高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.86:5146
CCTV1超清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.129:5146
CCTV2,http://home.zackfair1993.xyz:8686/rtp/239.77.0.31:5146
CCTV2高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.158:5146
CCTV2高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.137:5146
CCTV3,http://home.zackfair1993.xyz:8686/rtp/239.77.0.32:5146
CCTV3高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.169:5146
CCTV4,http://home.zackfair1993.xyz:8686/rtp/239.77.0.33:5146
CCTV4高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.163:5146
CCTV4高清,http://home.zackfair1993.xyz:8686/rtp/239.77.1.166:5146
CCTV4高清,http://home.zackfair1993.xyz:8686/rtp/239.77.0.78:5146
